*opuštěná slova končící na 'á'
*dvě skupiny: nalezený rodič a nenalezený rodič
*chybí hrana	zkoumané slovo	nalezené slovo
chybí hrana	Bartheldyová	Bartheldy
chybí hrana	Barthelová	Barthel
chybí hrana	Barthetová	Barthet
chybí hrana	Barthezová	Barthez
chybí hrana	Bartiková	Bartik
chybí hrana	Bartišová	Bartiš
chybí hrana	Bartkowiaková	Bartkowiak
chybí hrana	Bartlettová	Bartlett
chybí hrana	Bartleyová	Bartley
chybí hrana	Bartlíková	Bartlík
chybí hrana	Bartmannová	Bartmann
chybí hrana	Bartoková	Bartok
chybí hrana	Bartolenová	Bartolen
chybí hrana	Bartolettiová	Bartoletti
chybí hrana	Bartoliniová	Bartolini
chybí hrana	Bartolliová	Bartolli
chybí hrana	Bartolomějová	Bartoloměj
chybí hrana	Bartolová	Bartol
chybí hrana	Bartolčicová	Bartolčic
chybí hrana	Bartoníčková	Bartoníček
chybí hrana	Bartoschová	Bartosch
chybí hrana	Bartoshuková	Bartoshuk
chybí hrana	Bartoszová	Bartosz
chybí hrana	Bartoňková	Bartoňka
chybí hrana	Bartošovičová	Bartošovič
chybí hrana	Bartošáková	Bartošák
chybí hrana	Bartunčíková	Bartunčík
chybí hrana	Bartusiaková	Bartusiak
chybí hrana	Bartusková	Bartusek
chybí hrana	Bartušeková	Bartušek
chybí hrana	Bartásková	Bartásek
chybí hrana	Bartáčková	Bartáček
chybí hrana	Bartášková	Bartášek
chybí hrana	Bartóková	Bartók
chybí hrana	Bartůsková	Bartůsek
chybí hrana	Bartůšková	Bartůšek
chybí hrana	Baránková	Baránek
chybí hrana	Barčová	Barča
chybí hrana	Barčíková	Barčík
chybí hrana	Basileová	Basile
chybí hrana	Baslarová	Baslar
chybí hrana	Bastionová	bastion
chybí hrana	Basáková	Basák
chybí hrana	Basárová	Basár
chybí hrana	Batalovová	Batalov
chybí hrana	Batalová	Batal
chybí hrana	Batoušková	Batoušek
chybí hrana	Batovcová	Batovec
chybí hrana	Battleová	Battle
chybí hrana	Batunová	Batuna
chybí hrana	Batzová	batz
chybí hrana	Baumbergerová	Baumberger
chybí hrana	Bauschová	Bausch
chybí hrana	Bavoráková	Bavorák
chybí hrana	Baxterová	Baxter
chybí hrana	Bazarovová	Bazarov
chybí hrana	Bačková	Baček
chybí hrana	Bačuvčíková	Bačuvčík
chybí hrana	Bačvarovová	Bačvarov
chybí hrana	Baňárová	Baňár
chybí hrana	Bařáková	Bařák
chybí hrana	Baškircevová	Baškircev
chybí hrana	Baštincová	Baštinec
chybí hrana	Bašátková	Bašátek
chybí hrana	Beachová	Beach
chybí hrana	Beallová	Beall
chybí hrana	Beavanová	Beavan
chybí hrana	Bebková	Bebek
chybí hrana	Bechyňová	Bechyňa
chybí hrana	Becklová	Beckel
chybí hrana	Bedardová	Bedard
chybí hrana	Bedellová	Bedell
chybí hrana	Bednárková	Bednárek
chybí hrana	Bedrníčková	Bedrníček
chybí hrana	Bedrošová	Bedroš
chybí hrana	Bedrychová	Bedrych
chybí hrana	Beganovičová	Beganovič
chybí hrana	Begleyová	Begley
chybí hrana	Behringová	Behring
chybí hrana	Beilocková	Beilock
chybí hrana	Beilová	Beil
chybí hrana	Bejerová	Bejer
chybí hrana	Bejlková	Bejlek
chybí hrana	Bejčková	Bejček
chybí hrana	Bejšovcová	Bejšovec
chybí hrana	Bekárková	Bekárek
chybí hrana	Belančíková	Belančík
chybí hrana	Belblová	Belbl
chybí hrana	Beldíková	Beldík
chybí hrana	Belecová	Belec
chybí hrana	Belingrová	Belinger
chybí hrana	Belousová	Belous
chybí hrana	Belucciová	Belucci
chybí hrana	Belušová	Beluš
chybí hrana	Belčáková	Belčák
chybí hrana	Bembenková	Bembenek
chybí hrana	Benaissaová	Benaissa
chybí hrana	Benaissová	Benaissa
chybí hrana	Bendulová	Bendula
chybí hrana	Benediková	Benedik
chybí hrana	Benensonová	Benenson
chybí hrana	Benetinová	Benetin
chybí hrana	Bengtsonová	Bengtson
chybí hrana	Benová	Ben
chybí hrana	Benteová	Bente
chybí hrana	Benáčková	Benáček
chybí hrana	Beníčková	Beníček
chybí hrana	Benýšková	Benýšek
chybí hrana	Beranková	Beranek
chybí hrana	Berchinová	Berchin
chybí hrana	Berchová	Bercha
chybí hrana	Bercowová	Bercow
chybí hrana	Berdalová	Berdal
chybí hrana	Berecová	Berec
chybí hrana	Berglová	Bergl
chybí hrana	Berglundová	Berglund
chybí hrana	Berhardová	Berhard
chybí hrana	Berholdová	Berhold
chybí hrana	Berkhoutová	Berkhout
chybí hrana	Berkleyová	Berkley
chybí hrana	Berkovcová	Berkovec
chybí hrana	Berkowitzová	Berkowitz
chybí hrana	Berlakovichová	Berlakovich
chybí hrana	Berlietová	Berliet
chybí hrana	Berlinová	Berlin
chybí hrana	Berlusconiová	Berlusconi
chybí hrana	Bernardyová	Bernardy
chybí hrana	Bernatowiczová	Bernatowicz
chybí hrana	Bernfeldová	Bernfeld
chybí hrana	Bernhartová	Bernhart
chybí hrana	Bernklauová	Bernklau
chybí hrana	Berntsenová	Berntsen
chybí hrana	Bernášková	Bernášek
chybí hrana	Berníková	berník
chybí hrana	Beroušková	Beroušek
chybí hrana	Berová	Bera
chybí hrana	Bertelliová	Bertelli
chybí hrana	Bertensová	Bertens
chybí hrana	Bertinottiová	Bertinotti
chybí hrana	Bertiová	Berti
chybí hrana	Bertlová	Bertl
chybí hrana	Bertoniová	Bertoni
chybí hrana	Bertonová	Berton
chybí hrana	Bertová	Bert
chybí hrana	Berubeová	Berube
chybí hrana	Beručašviliová	Beručašvili
chybí hrana	Berušková	beruška
chybí hrana	Bervidová	Bervid
chybí hrana	Berzsiová	Berzsi
chybí hrana	Beránková	Beránek
chybí hrana	Berčáková	Berčák
chybí hrana	Besedová	beseda
chybí hrana	Besonovová	Besonov
chybí hrana	Bestová	Best
chybí hrana	Betlachová	Betlach
chybí hrana	Betroncová	Betronec
chybí hrana	Bettencourtová	Bettencourt
chybí hrana	Betuštiaková	Betuštiak
chybí hrana	Betíková	Betík
chybí hrana	Beumerová	Beumer
chybí hrana	Bevisová	Bevis
chybí hrana	Bezdíčková	Bezdíček
chybí hrana	Bezedná	bezedný
chybí hrana	Bezeková	Bezek
chybí hrana	Bezemková	Bezemek
chybí hrana	Bezoldová	Bezold
chybí hrana	Bezpalcová	Bezpalec
chybí hrana	Bezručková	Bezručka
chybí hrana	Bezvodová	Bezvoda
chybí hrana	Bečvaříková	Bečvařík
chybí hrana	Beňadíková	Beňadík
chybí hrana	Beňasová	Beňas
chybí hrana	Beňušová	Beňuš
chybí hrana	Bialasová	Bialas
chybí hrana	Bialková	Bialek
chybí hrana	Bialoňová	Bialoň
chybí hrana	Bialystoková	Bialystok
chybí hrana	Bibikoffová	Bibikoff
chybí hrana	Bibiová	Bibi
chybí hrana	Bicková	Bicek
chybí hrana	Bidermanová	Biderman
chybí hrana	Bidlasová	Bidlas
chybí hrana	Bidláková	Bidlák
chybí hrana	Bidmonová	Bidmon
chybí hrana	Biedlová	Biedl
chybí hrana	Biegelová	Biegel
chybí hrana	Biegunová	Biegun
