*s jakou četností se liší slova s rozdílem jednoho písmena
*tabulka četností sestupně 
*typ vztahu	četnost v procentech
*rodičem v tom vztahu je slovo obsahující 's' místo 'z'	64.37130289701199
*tato dvojice slov není nijak příbuzná	30.537438697608575
*rodičem v tomto vztahu je slovo obsahující 'z' místo 's' 	5.086202538045401
*tato dvojice slov je příbuzná, ale ne napřímo	0.005055867334041155
*
*rodičem v tom vztahu je slovo obsahující 's' místo 'z'
*hrana	otec	syn
hrana	antikomunismus	antikomunizmus
hrana	antikonzumerismus	antikonzumerizmus
hrana	antiliberalismus	antiliberalizmus
hrana	antimaďarismus	antimaďarizmus
hrana	antimečiarismus	antimečiarizmus
hrana	antimilitarismus	antimilitarizmus
hrana	antimodernismus	antimodernizmus
hrana	antinacionalismus	antinacionalizmus
hrana	antinacismus	antinacizmus
hrana	antinomismus	antinomizmus
hrana	antiparoubkismus	antiparoubkizmus
hrana	antiprohibicionismus	antiprohibicionizmus
hrana	antirasismus	antirasizmus
hrana	antirealismus	antirealizmus
hrana	antirusismus	antirusizmus
hrana	antiscientismus	antiscientizmus
hrana	antisemitismus	antisemitizmus
hrana	antisexualismus	antisexualizmus
hrana	antisionismus	antisionizmus
hrana	antislavismus	antislavizmus
hrana	antisocialismus	antisocializmus
hrana	antisovětismus	antisovětizmus
hrana	antiterorismus	antiterorizmus
hrana	antivietnamismus	antivietnamizmus
hrana	antičechismus	antičechizmus
hrana	antropocentrismus	antropocentrizmus
hrana	antropologismus	antropologizmus
hrana	antropomorfismus	antropomorfizmus
hrana	antroposofickost	antropozofickost
hrana	antroposoficky	antropozoficky
hrana	antroposofický	antropozofický
hrana	anxiosita	anxiozita
hrana	anxiosní	anxiozní
hrana	anxiosně	anxiozně
hrana	apolitismus	apolitizmus
hrana	aposice	apozice
hrana	apostasie	apostazie
hrana	apriorismus	apriorizmus
hrana	aprovisační	aprovizační
hrana	aprovisačně	aprovizačně
hrana	archaismus	archaizmus
hrana	arcidiecése	arcidiecéze
hrana	argyrismus	argyrizmus
hrana	arianismus	arianizmus
hrana	aristokratismus	aristokratizmus
hrana	aristotelismus	aristotelizmus
hrana	arivismus	arivizmus
