*slova podobně krátká jako rodič, ale začínají na jiné písmeno
*jedna skupina: seznam hran, které vypadají vachrlatě
*přebývá hrana	zkoumané slovo	roidč
přebývá hrana	votvíranost	odevíranost
přebývá hrana	votvíraně	odevíraně
přebývá hrana	votvíraný	odevíraný
přebývá hrana	votvíratelnost	odevíratelnost
přebývá hrana	votvíratelně	odevíratelně
přebývá hrana	votvíratelný	odevíratelný
přebývá hrana	votvírání	odevírání
přebývá hrana	votvírávací	odevírávací
přebývá hrana	votvírávající	odevírávající
přebývá hrana	votvírávanost	odevírávanost
přebývá hrana	votvírávaně	odevírávaně
přebývá hrana	votvírávaný	odevírávaný
přebývá hrana	votvírávatelnost	odevírávatelnost
přebývá hrana	votvírávatelně	odevírávatelně
přebývá hrana	votvírávatelný	odevírávatelný
přebývá hrana	votvírávání	odevírávání
přebývá hrana	votvírávat	odevírávat
přebývá hrana	votvírat	odevírat
přebývá hrana	plnit	ouplný
přebývá hrana	plničký	ouplný
přebývá hrana	plno	ouplný
přebývá hrana	plnost	ouplný
přebývá hrana	plný	ouplný
přebývá hrana	plně	ouplný
přebývá hrana	zplna	ouplný
přebývá hrana	úplnost	ouplný
přebývá hrana	úplný	ouplný
přebývá hrana	úplně	ouplný
přebývá hrana	ouplně	úplně
přebývá hrana	úplněk	ouplný
přebývá hrana	redoxní	oxidační
přebývá hrana	dopadat	padnout
přebývá hrana	nazpaměť	zpaměti
přebývá hrana	úpatí	pata
přebývá hrana	spatra	patro
přebývá hrana	vzpaž	paže
přebývá hrana	opéci	péct
přebývá hrana	spéci	péct
přebývá hrana	vpéci	péct
přebývá hrana	zpéci	péct
přebývá hrana	zpevna	pevný
přebývá hrana	naplat	platit
přebývá hrana	úplata	uplatit
přebývá hrana	úplatce	uplatit
přebývá hrana	úplatek	uplatit
přebývá hrana	náplav	plavit
přebývá hrana	úplavice	uplavat
přebývá hrana	oplzlý	plazit
přebývá hrana	splaz	plazit
přebývá hrana	doplít	plivnout
přebývá hrana	naplít	plivnout
přebývá hrana	naplít	plivnout
přebývá hrana	uplít	plivnout
přebývá hrana	uplít	plivnout
přebývá hrana	vyplít	plivnout
přebývá hrana	vyplít	plivnout
přebývá hrana	zaplít	plivnout
přebývá hrana	zaplít	plivnout
přebývá hrana	oplývat	plynout
přebývá hrana	splývat	plynout
přebývá hrana	uplývat	plynout
přebývá hrana	vyplývat	plynout
přebývá hrana	náplet	plést
přebývá hrana	oplet	plést
přebývá hrana	úplet	uplést
přebývá hrana	vodepnutě	odepjatě
přebývá hrana	vodepjatý	odepnutý
přebývá hrana	opona	pnout
přebývá hrana	úpon	upnout
přebývá hrana	úpona	upnout
přebývá hrana	zpodobit	podobný
přebývá hrana	upokojit	pokojný
přebývá hrana	oponec	popenec
přebývá hrana	upotřebit	potřebný
přebývá hrana	zpočátku	počátek
přebývá hrana	spraš	prášit
přebývá hrana	úprava	upravit
přebývá hrana	úpravce	upravit
přebývá hrana	zprava	pravý
přebývá hrana	vyprahat	prahnout
přebývá hrana	uprchat	prchnout
přebývá hrana	úprk	prchat
přebývá hrana	zpropadený	propadnout
přebývá hrana	oprsklý	prskat
přebývá hrana	opruz	prudit
přebývá hrana	zpružení	vzpružit
přebývá hrana	zpružený	vzpružit
přebývá hrana	zpruživší	vzpružit
přebývá hrana	zpružovat	vzpružit
přebývá hrana	zprvopočátku	prvopočátek
přebývá hrana	zprvu	prvý
přebývá hrana	oprat	prát
přebývá hrana	opsat	psát
přebývá hrana	upsat	psát
přebývá hrana	úpis	upsat
přebývá hrana	optat	ptát
přebývá hrana	dušezpyt	zpytovat
přebývá hrana	úpal	pálit
přebývá hrana	zpyšna	pyšný
přebývá hrana	kupředu	přední
přebývá hrana	vpředku	přední
přebývá hrana	zepředu	přední
přebývá hrana	spor	přít
přebývá hrana	úpor	upřít
přebývá hrana	napříč	příčit
přebývá hrana	opuka	pukat
přebývá hrana	rozpukat	puknout
přebývá hrana	zpol	půl
přebývá hrana	způli	půle
přebývá hrana	způsob	působit
přebývá hrana	řachtání	rachtat
přebývá hrana	finesa	rafinovat
přebývá hrana	zrána	ráno
přebývá hrana	zracionovat	racionelní
přebývá hrana	úraz	urazit
přebývá hrana	porenesanční	renaissanční
přebývá hrana	letý	rock
přebývá hrana	odrůda	rodit
přebývá hrana	úroda	urodit
přebývá hrana	odročit	rokovat
přebývá hrana	úroveň	urovnat
přebývá hrana	náruč	ruka
přebývá hrana	orvat	rvát
přebývá hrana	poryv	rvát
přebývá hrana	zervaný	servat
přebývá hrana	urvat	rvát
přebývá hrana	řičet	ryčet
přebývá hrana	arytmie	rytmus
přebývá hrana	posada	sadit
přebývá hrana	rozsah	sahat
přebývá hrana	šáhnutí	sáhnout
přebývá hrana	šáhnutý	sáhnout
přebývá hrana	šáhat	sahat
přebývá hrana	osamotit	samotný
přebývá hrana	oskenovat	scannovat
přebývá hrana	vodsezení	odsedění
přebývá hrana	vodsezenost	odseděnost
přebývá hrana	vodsezeně	odseděně
přebývá hrana	vodsezený	odseděný
přebývá hrana	posez	sedět
přebývá hrana	nasedat	sednout
přebývá hrana	usedat	sednout
přebývá hrana	zasedat	sednout
přebývá hrana	úsek	useknout
přebývá hrana	úseč	useknout
přebývá hrana	šery	sherry
přebývá hrana	šot	shot
přebývá hrana	šou	show
přebývá hrana	škicnutí	skicnout
přebývá hrana	škicnutý	skicnout
přebývá hrana	škicnuvší	skicnout
přebývá hrana	poskok	skočit
přebývá hrana	přískok	skočit
přebývá hrana	úskok	uskočit
přebývá hrana	úskočný	uskočit
přebývá hrana	vskutku	skutek
přebývá hrana	úskalí	skála
přebývá hrana	vposled	poslední
přebývá hrana	nohsled	sledovat
přebývá hrana	zvukosled	sledovat
přebývá hrana	doslov	slovo
přebývá hrana	posluha	sloužit
přebývá hrana	úsluha	sloužit
přebývá hrana	odsluní	slunce
přebývá hrana	výsluní	slunce
přebývá hrana	úsměv	usmát
přebývá hrana	úsudek	usoudit
přebývá hrana	pospas	spasit
přebývá hrana	šplouchat	spláchnout
přebývá hrana	našplíchat	šplouchat
přebývá hrana	ošplíchat	šplouchat
přebývá hrana	pošplíchat	šplouchat
přebývá hrana	vyšpláchat	šplouchat
přebývá hrana	vyšplíchat	šplouchat
přebývá hrana	došplíchnout	šplouchnout
přebývá hrana	odšplíchnout	šplouchnout
přebývá hrana	ošplíchnout	šplouchnout
přebývá hrana	ušplíchnout	šplouchnout
přebývá hrana	vespod	spodek
přebývá hrana	naspod	spodní
přebývá hrana	zespod	spodní
přebývá hrana	zespoda	spodní
přebývá hrana	úspora	uspořit
přebývá hrana	sporák	úsporný
přebývá hrana	uspat	spát
přebývá hrana	špízovávaně	spížovávaný
přebývá hrana	špízovávatelně	spížovávatelný
přebývá hrana	špízovací	spížovat
přebývá hrana	špízovaný	spížovat
přebývá hrana	špízování	spížovat
přebývá hrana	špízující	spížovat
přebývá hrana	špížovací	spížovat
přebývá hrana	špížovaný	spížovat
přebývá hrana	špížování	spížovat
přebývá hrana	špajz	spíž
přebývá hrana	pospíšit	spěchat
přebývá hrana	uspíšit	spěchat
přebývá hrana	úspěch	uspět
přebývá hrana	dvouspřeží	spřáhnout
přebývá hrana	osrdí	srdce
přebývá hrana	usrat	srát
přebývá hrana	štátue	statue
přebývá hrana	nedostižný	dostihnout
přebývá hrana	ustlat	stlát
přebývá hrana	štuček	stůček
přebývá hrana	šťopka	stopka
přebývá hrana	dostup	stoupat
přebývá hrana	pětistup	stoupat
přebývá hrana	osmistup	stoupit
přebývá hrana	ústup	ustoupit
přebývá hrana	ústupek	ustoupit
přebývá hrana	vzestup	stoupat
přebývá hrana	ústroj	ustrojit
přebývá hrana	ústrojný	ustrojit
přebývá hrana	ústrojí	ustrojit
přebývá hrana	štruzok	strožok
přebývá hrana	štrúzok	strožok
přebývá hrana	postrk	strkat
přebývá hrana	ústrk	ustrčit
přebývá hrana	študák	student
přebývá hrana	študovanec	studovaný
přebývá hrana	študýrka	studovat
přebývá hrana	nestyda	stydět
přebývá hrana	štýl	styl
přebývá hrana	ostat	stát
přebývá hrana	ústav	ustavit
přebývá hrana	ústava	ustavit
přebývá hrana	ustat	stát
přebývá hrana	pozůstat	zvostat
přebývá hrana	zblo	stéblo
přebývá hrana	ostění	stěna
přebývá hrana	ústředivý	ustředit
přebývá hrana	obstřel	střelit
přebývá hrana	ústřel	ustřelit
přebývá hrana	ostraha	střežit
