*geografické pojmy začínající velkým písmenem, které mají identické slovo v derinetu začínající malým písmenem a nejsou k sobě připojeni
*chybí hrana	zkoumané slovo	nalezené slovo
chybí hrana	Kameňák	kameňák
chybí hrana	Kamínka	kamínka
chybí hrana	Kamýk	kamýk
chybí hrana	Kananga	kananga
chybí hrana	Kandahar	kandahar
chybí hrana	Kanice	kanice
chybí hrana	Kapa	kapa
chybí hrana	Kaplanka	kaplanka
chybí hrana	Kaplice	kaplice
chybí hrana	Kaproun	kaproun
chybí hrana	Kaprovka	kaprovka
chybí hrana	Kasárna	kasárna
chybí hrana	Katan	katan
chybí hrana	Kavalír	kavalír
chybí hrana	Kavalírka	kavalírka
chybí hrana	Kačice	kačice
chybí hrana	Kačák	kačák
chybí hrana	Kašmír	kašmír
chybí hrana	Kaťák	kaťák
chybí hrana	Kedr	kedr
chybí hrana	Keňa	keňa
chybí hrana	Kentaur	kentaur
chybí hrana	Kerka	kerka
chybí hrana	Kern	kern
chybí hrana	Kingston	kingston
chybí hrana	Kladina	kladina
chybí hrana	Klec	klec
chybí hrana	Klenovka	klenovka
chybí hrana	Klení	klení
chybí hrana	Klokočí	klokočí
chybí hrana	Kloub	kloub
chybí hrana	Kluk	kluk
chybí hrana	Klášter	klášter
chybí hrana	Klínec	klínec
chybí hrana	Knížecí	knížecí
chybí hrana	Kněžice	kněžice
chybí hrana	Kobe	kobe
chybí hrana	Kobylí	kobylí
chybí hrana	Kodiak	kodiak
chybí hrana	Koliště	koliště
chybí hrana	Koloseum	koloseum
chybí hrana	Kolová	kolová
chybí hrana	Kolčavka	kolčavka
chybí hrana	Komenda	komenda
chybí hrana	Komora	komora
chybí hrana	Komorník	komorník
chybí hrana	Kona	kona
chybí hrana	Konice	konice
chybí hrana	Kopanina	kopanina
chybí hrana	Kopec	kopec
chybí hrana	Kopeček	kopeček
chybí hrana	Kopist	kopist
chybí hrana	Koprník	koprník
chybí hrana	Kordula	kordula
chybí hrana	Korouhev	korouhev
chybí hrana	Korunní	korunní
chybí hrana	Koryto	koryto
