*přídavná jména končící na 'ův', která nejsou připojena ke slovu mužského rodu
*varianta	zkoumané slovo	nalezené slovo
chybí hrana	věrozvěstův	věrozvěst
chybí hrana	vyčůránkův	vyčůránek
chybí hrana	vyřaděncův	vyřaděnec
chybí hrana	Šalomounův	Šalomoun
chybí hrana	švališerův	švališer
*
*možný předek mužského rodu
chybí hrana	antidemokratův	antidemokrat
chybí hrana	pseudodemokratův	pseudodemokrat
chybí hrana	logopedův	logoped
chybí hrana	ortopedův	ortoped
chybí hrana	ortopédův	ortopéd
chybí hrana	Abbasův	Abbas
chybí hrana	Abbásův	Abbás
chybí hrana	Abásův	Abás
chybí hrana	Abbásovcův	Abbásovec
chybí hrana	Abbergrův	Abberger
chybí hrana	Abcházcův	Abcházec
chybí hrana	Abcházův	Abcház
chybí hrana	Abdalláhův	Abdalláh
chybí hrana	Abdalwadovcův	Abdalwadovec
chybí hrana	Abduův	Abdu
chybí hrana	Abdullahův	Abdullah
chybí hrana	Abdulláhův	Abdulláh
chybí hrana	Abduláhův	Abduláh
chybí hrana	Abelesův	Abeles
chybí hrana	Abellův	Abell
chybí hrana	Abelsův	Abeles
chybí hrana	Ábelův	Ábel
chybí hrana	Ablingrův	Ablinger
chybí hrana	Aborigincův	Aboriginec
chybí hrana	Aboulafiův	Aboulafia
chybí hrana	Abrahámův	Abrahám
chybí hrana	Abrahámkův	Abrahámek
chybí hrana	Abrhámův	Abrhám
chybí hrana	Abreojosův	Abreojos
chybí hrana	Absolónův	Absolón
chybí hrana	Abulafiův	Abulafia
chybí hrana	Achaimenovcův	Achaimenovec
chybí hrana	Achajcův	Achajec
chybí hrana	Achájův	Acháj
chybí hrana	Achajmenovcův	Achajmenovec
chybí hrana	Acharyův	Acharya
chybí hrana	Achilleův	Achille
chybí hrana	Achnatonův	Achnaton
chybí hrana	Acháův	Achá
chybí hrana	Adamcův	Adamec
chybí hrana	Adámkův	Adámek
chybí hrana	Adamečkův	Adameček
chybí hrana	Adamkův	Adamek
chybí hrana	Adamíčkův	Adamíček
chybí hrana	Adaszkův	Adaszek
chybí hrana	Adityův	Aditya
chybí hrana	Adolfkův	Adolfek
chybí hrana	Adolphův	Adolph
chybí hrana	Adónisův	Adónis
chybí hrana	Adrianosův	Adrianos
chybí hrana	Adriánkův	Adriánek
chybí hrana	Adventníčkův	Adventníček
chybí hrana	Adygejcův	Adygejec
chybí hrana	Adáškův	Adášek
chybí hrana	Adžátašatruův	Adžátašatru
chybí hrana	Aegertrův	Aegerter
chybí hrana	Afrikáncův	Afrikánec
chybí hrana	Afričánkův	Afričánek
chybí hrana	Afroasijcův	Afroasijec
chybí hrana	Afšárovcův	Afšárovec
chybí hrana	Agamemnónův	Agamemnón
chybí hrana	Aggrův	Agger
chybí hrana	Aghlabovcův	Aghlabovec
chybí hrana	Agricolův	Agricola
chybí hrana	Agrosův	Agros
chybí hrana	Ahmadův	Ahmad
chybí hrana	Achmadův	Achmad
chybí hrana	Achmedův	Achmed
chybí hrana	Aipivohuův	Aipivohu
chybí hrana	Ajjúbovcův	Ajjúbovec
chybí hrana	Akhajcův	Akhajec
chybí hrana	Akiův	Aki
chybí hrana	Akosův	Akos
chybí hrana	Aladinův	Aladin
chybí hrana	Alagiův	Alagia
chybí hrana	Alajosův	Alajos
chybí hrana	Alemanův	Aleman
chybí hrana	Alemánův	Alemán
chybí hrana	Albáncův	Albánec
chybí hrana	Albertovcův	Albertovec
chybí hrana	Aldridgeův	Aldridge
chybí hrana	Aleův	Alea
chybí hrana	Alecosův	Alecos
chybí hrana	Alexandrův	Alexander
chybí hrana	Lexův	Lexa
chybí hrana	Alexandrovův	Alexandrov
chybí hrana	Alessiův	Alessi
chybí hrana	Alexandrijcův	Alexandrijec
chybí hrana	Aleškův	Alešek
chybí hrana	Alšův	Aleš
chybí hrana	Alfiův	Alfi
chybí hrana	Alfonsův	Alfons
chybí hrana	Alfrédkův	Alfrédek
chybí hrana	Alfredův	Alfred
chybí hrana	Alfínečkův	Alfíneček
chybí hrana	Algayrův	Algayer
chybí hrana	Aliův	Alia
chybí hrana	Alkrův	Alker
chybí hrana	Alkmaionovcův	Alkmaionovec
chybí hrana	Alkmeónovcův	Alkmeónovec
chybí hrana	Allmendigrův	Allmendiger
chybí hrana	Almodóvarův	Almodóvar
chybí hrana	Almuniův	Almunia
chybí hrana	Alojzův	Alojz
chybí hrana	Alouškův	Aloušek
chybí hrana	Altajcův	Altajec
chybí hrana	Alánkův	Alánek
chybí hrana	Alíčkův	Alíček
chybí hrana	Amadiův	Amadi
chybí hrana	Amakosův	Amakosa
chybí hrana	Amaruův	Amaru
chybí hrana	Amarúův	Amarú
chybí hrana	Ambatielosův	Ambatielos
chybí hrana	Ambrosiův	Ambrosi
chybí hrana	Ambrozkův	Ambrozek
chybí hrana	Ambrosův	Ambros
chybí hrana	Ambrožkův	Ambrožek
chybí hrana	Ambrůžkův	Ambrůžek
chybí hrana	Amenreův	Amenre
chybí hrana	Amerikáncův	Amerikánec
chybí hrana	Američánkův	Američánek
chybí hrana	Ammoncův	Ammonec
chybí hrana	amorkův	amorek
chybí hrana	Amorejcův	Amorejec
chybí hrana	Amorosův	Amoros
chybí hrana	Amosův	Amos
chybí hrana	Ámosův	Ámos
chybí hrana	Amroliův	Amrolia
chybí hrana	Anastasiův	Anastasi
chybí hrana	Anderssenův	Anderssen
chybí hrana	Ondráškův	Ondrášek
chybí hrana	Ondříčkův	Ondříček
chybí hrana	Andrejanovcův	Andrejanovec
chybí hrana	Andrejskův	Andrejsek
chybí hrana	Andrlíčkův	Andrlíček
chybí hrana	Andrýskův	Andrýsek
chybí hrana	Andělíčkův	Andělíček
chybí hrana	Angelopoulosův	Angelopoulos
chybí hrana	Angelopulosův	Angelopulos
chybí hrana	Angelovcův	Angelovec
chybí hrana	Anjosův	Anjos
chybí hrana	Anjouovcův	Anjouovec
chybí hrana	Antikristův	Antikrist
chybí hrana	Antigonovcův	Antigonovec
chybí hrana	Antizemanovcův	Antizemanovec
chybí hrana	Antoníčkův	Antoníček
chybí hrana	Antkův	Antek
chybí hrana	Antonínkův	Antonínek
chybí hrana	Antuškův	Antušek
chybí hrana	Antálkův	Antálek
chybí hrana	Antůškův	Antůšek
chybí hrana	Anwandrův	Anwander
chybí hrana	Ančincův	Ančinec
chybí hrana	Apollónův	Apollón
chybí hrana	Apolonův	Apolon
chybí hrana	Apolónův	Apolón
chybí hrana	Aponův	Apon
chybí hrana	Apollónkův	Apollónek
chybí hrana	Apolloniův	Apolloni
chybí hrana	Appiův	Appia
chybí hrana	Arábův	Aráb
chybí hrana	Aramejcův	Aramejec
chybí hrana	Arayův	Araya
chybí hrana	Arbeloův	Arbeloa
chybí hrana	Arcosův	Arcos
chybí hrana	Argentincův	Argentinec
chybí hrana	Ariův	Ari
chybí hrana	aristotelovcův	aristotelovec
chybí hrana	Arméncův	Arménec
chybí hrana	Arnoštkův	Arnoštek
chybí hrana	Arpádův	Arpád
chybí hrana	Arpádovcův	Arpádovec
chybí hrana	Arsakovcův	Arsakovec
chybí hrana	Arturův	Artur
chybí hrana	Arthusův	Arthus
chybí hrana	Aruťuňanův	Aruťuňan
chybí hrana	Assadův	Assad
chybí hrana	Assádův	Assád
chybí hrana	Asádův	Asád
chybí hrana	Azadův	Azad
chybí hrana	Asamrův	Asamer
chybí hrana	asijcův	asijec
chybí hrana	Asijcův	Asijec
chybí hrana	Askáncův	Askánec
chybí hrana	Aslanbkův	Aslanbek
chybí hrana	Astarloův	Astarloa
chybí hrana	Astonův	Aston
chybí hrana	Athosův	Athos
chybí hrana	Atéňanův	Atéňan
chybí hrana	Atosův	Atos
chybí hrana	Atíčkův	Atíček
chybí hrana	Auervkův	Auervek
chybí hrana	Augustínův	Augustín
chybí hrana	Augustýnův	Augustýn
chybí hrana	Augustýnkův	Augustýnek
chybí hrana	Aurelianův	Aurelian
chybí hrana	Austrálcův	Austrálec
chybí hrana	australopitékův	australopiték
chybí hrana	Auředníčkův	Auředníček
chybí hrana	Ayebouův	Ayeboua
chybí hrana	Ázerbajdžáncův	Ázerbajdžánec
chybí hrana	Ázerbájdžáncův	Ázerbájdžánec
chybí hrana	Azerbajdžáncův	Azerbajdžánec
chybí hrana	Azerbájdžáncův	Azerbájdžánec
chybí hrana	Azorkův	Azorek
chybí hrana	Babbageův	Babbage
chybí hrana	Babcův	Babec
chybí hrana	Babincův	Babinec
chybí hrana	Babiánkův	Babiánek
chybí hrana	babišovcův	babišovec
chybí hrana	Baboučkův	Babouček
chybí hrana	Babovcův	Babovec
chybí hrana	Babyloňanův	Babyloňan
chybí hrana	Babáčkův	Babáček
chybí hrana	Babánkův	Babánek
chybí hrana	Babíčkův	Babíček
chybí hrana	Babínkův	Babínek
chybí hrana	Babůrkův	Babůrek
chybí hrana	Bacashihuův	Bacashihua
chybí hrana	Bachačkův	Bachaček
chybí hrana	Bachingrův	Bachinger
chybí hrana	Bachorcův	Bachorec
chybí hrana	Bachurkův	Bachurek
chybí hrana	Bachánkův	Bachánek
chybí hrana	Bacháčkův	Bacháček
chybí hrana	Bachůrkův	Bachůrek
chybí hrana	Bacílkův	Bacílek
chybí hrana	Badalcův	Badalec
chybí hrana	Baddelliosův	Baddellios
chybí hrana	Badgrův	Badger
chybí hrana	Badovcův	Badovec
chybí hrana	Badoškův	Badošek
chybí hrana	Baedeckrův	Baedecker
chybí hrana	Bafrncův	Bafrnec
chybí hrana	Baggrův	Bagger
chybí hrana	Bagratovcův	Bagratovec
chybí hrana	Bahamcův	Bahamec
chybí hrana	Bahníčkův	Bahníček
chybí hrana	Bahorcův	Bahorec
chybí hrana	Bahounkův	Bahounek
chybí hrana	Bahrajncův	Bahrajnec
chybí hrana	Baidcův	Baidec
chybí hrana	Bajskův	Bajsek
chybí hrana	Bajtosův	Bajtos
chybí hrana	Bakongoliův	Bakongolia
chybí hrana	Bakosův	Bakos
chybí hrana	Balariův	Balaria
chybí hrana	Balawejdrův	Balawejder
chybí hrana	Balboův	Balboa
chybí hrana	balbínovcův	balbínovec
chybí hrana	Balbínovcův	Balbínovec
chybí hrana	Balcárkův	Balcárek
chybí hrana	Balhárkův	Balhárek
chybí hrana	Balkáncův	Balkánec
chybí hrana	Ballestrův	Ballester
chybí hrana	Ballesterosův	Ballesteros
chybí hrana	Balounkův	Balounek
chybí hrana	Balouškův	Baloušek
chybí hrana	Baltazarův	Baltazar
chybí hrana	Balthazarův	Balthazar
chybí hrana	Baláčkův	Baláček
chybí hrana	Baláskův	Balásek
chybí hrana	Balínkův	Balínek
chybí hrana	Balúův	Balú
chybí hrana	Balšánkův	Balšánek
chybí hrana	Balšínkův	Balšínek
chybí hrana	Balůův	Balů
chybí hrana	Balůskův	Balůsek
chybí hrana	Balůškův	Balůšek
chybí hrana	Bambergrův	Bamberger
chybí hrana	Bambouskův	Bambousek
chybí hrana	Bambuškův	Bambušek
chybí hrana	Bambáskův	Bambásek
chybí hrana	Banaczkův	Banaczek
chybí hrana	banderovcův	banderovec
chybí hrana	Bangaltrův	Bangalter
chybí hrana	Banovcův	Banovec
chybí hrana	Bantuův	Bantu
chybí hrana	Banvilleův	Banville
chybí hrana	baníkovcův	baníkovec
chybí hrana	Banďurkův	Banďurek
chybí hrana	Baův	Bea
chybí hrana	Baraczkův	Baraczek
chybí hrana	Barankův	Baranek
chybí hrana	Baraův	Barea
chybí hrana	Barbusseův	Barbusse
chybí hrana	Barbánkův	Barbánek
chybí hrana	Barbírkův	Barbírek
chybí hrana	Barcellosův	Barcellos
chybí hrana	Barchankův	Barchanek
chybí hrana	Barchánkův	Barchánek
chybí hrana	Barkův	Barek
chybí hrana	Bardáčkův	Bardáček
chybí hrana	Bareův	Barea
chybí hrana	barkašovcův	barkašovec
chybí hrana	Barmáncův	Barmánec
chybí hrana	Barnabáškův	Barnabášek
chybí hrana	Barnkův	Barnek
chybí hrana	Barosův	Baros
chybí hrana	Barriciniův	Barricini
chybí hrana	Barrientosův	Barrientos
chybí hrana	Barringrův	Barringer
chybí hrana	Barriosův	Barrios
chybí hrana	Barrosův	Barros
chybí hrana	Barteczkův	Barteczek
chybí hrana	Bartolomějův	Bartoloměj
chybí hrana	Bartlíčkův	Bartlíček
chybí hrana	bartončíkovcův	bartončíkovec
chybí hrana	Bartosův	Bartos
chybí hrana	Bartoschkův	Bartoschek
chybí hrana	Bartouškův	Bartoušek
chybí hrana	Bartovancův	Bartovanec
chybí hrana	Bartoníčkův	Bartoníček
chybí hrana	Bartošovcův	Bartošovec
chybí hrana	Bartunkův	Bartunek
chybí hrana	Bartuschkův	Bartuschek
chybí hrana	Bartuskův	Bartusek
chybí hrana	Bartáčkův	Bartáček
chybí hrana	Bartáskův	Bartásek
chybí hrana	Bartáškův	Bartášek
chybí hrana	Bartůskův	Bartůsek
chybí hrana	Bartůškův	Bartůšek
chybí hrana	Barveníčkův	Barveníček
chybí hrana	Barvínkův	Barvínek
chybí hrana	Baryšpolcův	Baryšpolec
chybí hrana	Baránkův	Baránek
chybí hrana	Baráškův	Barášek
chybí hrana	Basescuův	Basescu
chybí hrana	Basovníčkův	Basovníček
chybí hrana	Bastosův	Bastos
chybí hrana	Batolcův	Batolec
chybí hrana	Batouškův	Batoušek
chybí hrana	Batovcův	Batovec
chybí hrana	Battaggiův	Battaggia
chybí hrana	Battagliův	Battaglia
chybí hrana	Battskův	Battsek
chybí hrana	Battyův	Battya
chybí hrana	Batůškův	Batůšek
chybí hrana	Baudrův	Bauder
chybí hrana	Baumschagrův	Baumschager
chybí hrana	Bauschkův	Bauschek
chybí hrana	Bausskův	Baussek
chybí hrana	Bauzkův	Bauzek
chybí hrana	Bavůrkův	Bavůrek
chybí hrana	Bayezitův	Bayezit
chybí hrana	Baíův	Baía
chybí hrana	Bačkův	Baček
chybí hrana	Baďoučkův	Baďouček
chybí hrana	Baštincův	Baštinec
chybí hrana	Bašátkův	Bašátek
chybí hrana	baťovcův	baťovec
chybí hrana	Baťoučkův	Baťouček
chybí hrana	Bebkův	Bebek
chybí hrana	Beccariův	Beccaria
chybí hrana	Bechyňův	Bechyňa
chybí hrana	Beckettův	Beckett
chybí hrana	Beczkův	Beczek
chybí hrana	Bedlkův	Bedlek
chybí hrana	Bednarkův	Bednarek
chybí hrana	Bednárečkův	Bednáreček
chybí hrana	Bednárkův	Bednárek
chybí hrana	Bedoyův	Bedoya
chybí hrana	Bedrníčkův	Bedrníček
chybí hrana	beduínův	beduín
chybí hrana	Bedříškův	Bedříšek
chybí hrana	Bejlkův	Bejlek
chybí hrana	Bejlovcův	Bejlovec
chybí hrana	Bejčkův	Bejček
chybí hrana	Bejšovcův	Bejšovec
chybí hrana	Bekavcův	Bekavec
chybí hrana	Bekkrův	Bekker
chybí hrana	Bekárkův	Bekárek
chybí hrana	Belcův	Belec
chybí hrana	Belánkův	Belánek
chybí hrana	Beláčkův	Beláček
chybí hrana	Belínkův	Belínek
chybí hrana	Bembenkův	Bembenek
chybí hrana	Benatiův	Benatia
chybí hrana	Benbenkův	Benbenek
chybí hrana	Bendkův	Bendek
chybí hrana	Benettonův	Benetton
chybí hrana	Benešáčkův	Benešáček
chybí hrana	Bengálcův	Bengálec
chybí hrana	Benjaminův	Benjamin
chybí hrana	Benjamínův	Benjamín
