*opuštěná slova končící na 'vka', 'čka', 'nka', 'žka', 'ka'
*dvě skupiny: nalezený rodič a nenalezený rodič
*chybí hrana	zkoumané slovo	nalezené slovo
chybí hrana	patnáctka	patnáct
chybí hrana	pařička	pařič
chybí hrana	plavuňka	plavuň
chybí hrana	pohorka	pohory
chybí hrana	početka	počet
chybí hrana	prdka	prd
chybí hrana	primeroska	primeros
chybí hrana	pryčka	pryč
chybí hrana	prťka	prť
chybí hrana	pětadevadesátka	pětadevadesát
chybí hrana	pětaosmdesátka	pětaosmdesát
chybí hrana	pětapadesátka	pětapadesát
chybí hrana	pětasedmdesátka	pětasedmdesát
chybí hrana	pětašedesátka	pětašedesát
chybí hrana	pětinka	pětina
chybí hrana	přadlenka	přadlena
chybí hrana	přednostka	přednost
chybí hrana	půldecka	půldeci
chybí hrana	retka	ret
chybí hrana	sandálka	sandál
chybí hrana	sedmadevadesátka	sedmadevadesát
chybí hrana	sedmaosmdesátka	sedmaosmdesát
chybí hrana	sedmapadesátka	sedmapadesát
chybí hrana	simka	sima
chybí hrana	skandinavistka	skandinavista
chybí hrana	skipka	skip
chybí hrana	smečka	smeč
chybí hrana	sniperka	sniper
chybí hrana	snovatka	snovat
chybí hrana	snítka	snít
chybí hrana	soukromka	soukromo
chybí hrana	spojovačka	spojovač
chybí hrana	stodevadesátka	stodevadesát
chybí hrana	stoosmdesátka	stoosmdesát
chybí hrana	stopadesátka	stopadesát
chybí hrana	stopětapadesátka	stopětapadesát
chybí hrana	stopětasedmdesátka	stopětasedmdesát
chybí hrana	střapatka	střapato
chybí hrana	sufražistka	sufražista
chybí hrana	topka	top
chybí hrana	trojdenka	trojden
chybí hrana	troškařka	troškař
chybí hrana	truska	trus
chybí hrana	těhulka	těhule
chybí hrana	třaska	třas
chybí hrana	třiapadesátka	třiapadesát
chybí hrana	třistaosmdesátšestka	třistaosmdesátšest
chybí hrana	třistašedesátka	třistašedesát
chybí hrana	tříšťka	tříšť
chybí hrana	ukulelistka	ukulelista
chybí hrana	vatka	vata
chybí hrana	vašnostinka	vašnostin
chybí hrana	vašnostka	vašnost
chybí hrana	vdovinka	vdovin
chybí hrana	videonovinka	videonoviny
chybí hrana	virtuózka	virtuóz
chybí hrana	viržinka	viržino
chybí hrana	vlásinka	vlásina
chybí hrana	vodoměrka	vodoměr
chybí hrana	vrápka	vráp
chybí hrana	vzkazka	vzkaz
chybí hrana	výběrka	výběr
chybí hrana	výsuvka	výsuv
chybí hrana	výtočka	výtoč
chybí hrana	zbloudilka	zbloudile
chybí hrana	zdrobnělka	zdrobněle
chybí hrana	znáčka	znáč
chybí hrana	zpomalovačka	zpomalovač
chybí hrana	záhybka	záhyb
chybí hrana	zátěrka	zátěr
chybí hrana	zátěžka	zátěž
chybí hrana	Ámoska	Ámos
chybí hrana	Ázerbajdžánka	Ázerbajdžán
chybí hrana	úsporka	úspora
chybí hrana	Čajka	Čaja
chybí hrana	Čechovka	Čechov
chybí hrana	Čeperka	Čepera
chybí hrana	Černovka	Černov
chybí hrana	Čerokézka	Čerokéz
chybí hrana	Čudka	Čuda
chybí hrana	Čuvaška	Čuvaš
chybí hrana	Čánka	Čáni
chybí hrana	Čížovka	Čížov
chybí hrana	četka	četa
chybí hrana	čipka	čip
chybí hrana	čtvrtka	čtvrt
chybí hrana	čtyřhranka	čtyřhran
chybí hrana	čtyřiadevadesátka	čtyřiadevadesát
chybí hrana	čtyřiaosmdesátka	čtyřiaosmdesát
chybí hrana	čtyřiapadesátka	čtyřiapadesát
chybí hrana	čtyřiasedmdesátka	čtyřiasedmdesát
chybí hrana	čtyřiašedesátka	čtyřiašedesát
chybí hrana	ďourka	ďoura
chybí hrana	Řepka	Řepa
chybí hrana	Šafránka	Šafrán
chybí hrana	Šlapanka	Šlapany
chybí hrana	Šmejkalka	Šmejkal
chybí hrana	Šošůvka	Šošův
chybí hrana	Špinka	Špina
chybí hrana	Štefka	Štefi
chybí hrana	Štepánka	Štepán
chybí hrana	Štěpka	Štěp
chybí hrana	Štěpánka	Štěpán
chybí hrana	Šárka	Šára
chybí hrana	šakalka	šakal
chybí hrana	šedesátka	šedesát
chybí hrana	šerka	šero
chybí hrana	šestašedesátka	šestašedesát
chybí hrana	šestikolka	šestikolo
chybí hrana	šestka	šest
chybí hrana	šestnácterka	šestnáctero
chybí hrana	škarohlídka	škarohlíd
chybí hrana	šlaufka	šlauf
chybí hrana	štamgastka	štamgast
chybí hrana	šňupka	šňup
chybí hrana	Ťapka	Ťap
chybí hrana	Želivka	Želiv
chybí hrana	Žlutičanka	Žlutičan
chybí hrana	Žukovka	Žukov
chybí hrana	želka	žel
*
*nenalezen předek
chybí hrana	Abanka
chybí hrana	Abhidhammapitaka
chybí hrana	Abhidharmmapitaka
chybí hrana	Aboriginka
chybí hrana	Aerovka
chybí hrana	Afrika
