*opuštěná slova končící na 'ař'
*tři skupiny: nalezený rodič, který je častější než nalezené slovo, nalezený rodič, který je méně častý než nalezené slovo, nenalezen rodič
*chybí hrana	zkoumané slovo	nalezené slovo
chybí hrana	Pilař	Pila
chybí hrana	Prachař	Prach
chybí hrana	Solnař	Solík
chybí hrana	Stavař	Stav
chybí hrana	Voslař	Vosík
chybí hrana	bachař	bach
chybí hrana	béčkař	béčák
chybí hrana	chůdař	chůdy
chybí hrana	deblař	debl
chybí hrana	trakař	trak
chybí hrana	vláčkař	vláčka
chybí hrana	Šmukař	šmuk
chybí hrana	Štěpař	Štěp
chybí hrana	šraňkař	šraňka
*
*nenalezen předek
chybí hrana	Blejchař
chybí hrana	Cysař
chybí hrana	Císař
chybí hrana	Cýsař
chybí hrana	Hostivař
chybí hrana	Jaktař
chybí hrana	Jermař
chybí hrana	Líkař
chybí hrana	Lžičař
chybí hrana	Ohař
chybí hrana	Písař
chybí hrana	Stolař
chybí hrana	Uřičař
chybí hrana	altkař
chybí hrana	autokomisař
chybí hrana	autotrakař
chybí hrana	benchař
chybí hrana	biopekař
chybí hrana	biovinař
chybí hrana	bmxař
chybí hrana	breakcorař
chybí hrana	bróskař
chybí hrana	burdelař
chybí hrana	cyklopivař
chybí hrana	dlouhotraťař
chybí hrana	dogtrekař
chybí hrana	drabař
chybí hrana	druhometař
chybí hrana	dvojkomisař
chybí hrana	dyjař
chybí hrana	ekosadař
chybí hrana	ethnovlnař
chybí hrana	exbachař
chybí hrana	excyklokrosař
chybí hrana	exdiskař
chybí hrana	exeurokomisař
chybí hrana	exkomisař
chybí hrana	gonkař
chybí hrana	hnojař
chybí hrana	jódlař
chybí hrana	kamenosochař
chybí hrana	kitesurfař
chybí hrana	kovofrézař
chybí hrana	kradlař
chybí hrana	krasobruslař
chybí hrana	krasokličkař
chybí hrana	krupař
chybí hrana	kypař
chybí hrana	ledosochař
chybí hrana	loktař
chybí hrana	líhnař
chybí hrana	líkař
chybí hrana	malovinař
chybí hrana	meziplotař
chybí hrana	minibikař
chybí hrana	miškař
chybí hrana	místopísař
chybí hrana	měkkosrdcař
chybí hrana	neofolkař
chybí hrana	niťař
chybí hrana	nožař
chybí hrana	plicař
chybí hrana	ploutvař
chybí hrana	pluskař
chybí hrana	pornofolkař
chybí hrana	pornozvukař
chybí hrana	profikuchař
chybí hrana	průmkař
chybí hrana	pánvař
chybí hrana	retrolyžař
chybí hrana	rostlinolékař
chybí hrana	rychlobruslař
chybí hrana	rychlolyžař
chybí hrana	rychlopísař
chybí hrana	serfař
chybí hrana	skorokomisař
chybí hrana	sledkař
chybí hrana	slévař
chybí hrana	snowboardcrossař
chybí hrana	sněhař
chybí hrana	spolucísař
chybí hrana	staskař
chybí hrana	streetař
chybí hrana	stýplař
chybí hrana	středopolař
chybí hrana	středotraťař
chybí hrana	vahař
chybí hrana	velkopekař
chybí hrana	velkorejdař
chybí hrana	velkovinař
chybí hrana	velkovčelař
chybí hrana	volnostylař
chybí hrana	vozař
chybí hrana	vzdorocísař
chybí hrana	zadopolař
chybí hrana	účtař
chybí hrana	Čihař
chybí hrana	Čmuhař
chybí hrana	čorkař
chybí hrana	čučkař
chybí hrana	Řičař
chybí hrana	Říčař
chybí hrana	Šlahař
chybí hrana	Šrubař
chybí hrana	štelař
chybí hrana	šéfbachař
chybí hrana	šéfkomisař
chybí hrana	šéfkuchař
chybí hrana	šéflékař
chybí hrana	šéfpekař
chybí hrana	Žličař
