*opuštěná přídavná jména končící na 'ní'
*čtyři skupiny: častější možný předek než slovo, méně častý předek než slovo, dva možní předci, žádný předek nenalezen 
*chybí hrana	zkoumané slovo	nalezené slovo'
chybí hrana	dvanáctinedělní
chybí hrana	dvanáctinárodnostní
chybí hrana	dvanáctipodlažní
chybí hrana	dvanáctiroční
chybí hrana	dvanáctitýdenní
chybí hrana	dvojklavírní
chybí hrana	dvojměsíční
chybí hrana	dvojnárodnostní
chybí hrana	dvojnárodní
chybí hrana	dvojpodlažní
chybí hrana	dvojpohlavní
chybí hrana	dvojruční
chybí hrana	dvojrychlostní
chybí hrana	dvojstátní
chybí hrana	dvouapůldenní
chybí hrana	dvouapůlměsíční
chybí hrana	dvouapůlroční
chybí hrana	dvouapůltýdenní
chybí hrana	dvouboční
chybí hrana	dvouděložní
chybí hrana	dvoukolejnění
chybí hrana	dvoukomunitní
chybí hrana	dvouměsíční
chybí hrana	dvounedělní
chybí hrana	dvounárodní
chybí hrana	dvoupartajní
chybí hrana	dvoupohlavní
chybí hrana	dvourotační
chybí hrana	dvouruční
chybí hrana	dvourychlostní
chybí hrana	dvousetdenní
chybí hrana	dvouušní
chybí hrana	dvoučtvrteční
chybí hrana	dálnovýchodní
chybí hrana	dálněvýchodní
chybí hrana	ezoterní
chybí hrana	hlubokovodní
chybí hrana	hmotněprávní
chybí hrana	hnojní
chybí hrana	holotropní
chybí hrana	homocerkní
chybí hrana	homonomní
chybí hrana	homotypní
chybí hrana	hornopolicejní
chybí hrana	hornopolní
chybí hrana	hornoúřední
chybí hrana	jedenadvacetidenní
chybí hrana	jedenadvacetiměsíční
chybí hrana	jedenadvacetipodlažní
chybí hrana	jedenapadesátidenní
chybí hrana	jedenapůldenní
chybí hrana	jedenapůlměsíční
chybí hrana	jedenapůlpodlažní
chybí hrana	jedenapůlroční
chybí hrana	jedenatřicetidenní
chybí hrana	jedenačtyřicetipodlažní
chybí hrana	jedenáctiměsíční
chybí hrana	jedenáctipodlažní
chybí hrana	jedenáctitýdenní
chybí hrana	jednodenní
chybí hrana	jednoděložní
chybí hrana	jednolitní
chybí hrana	jednolícní
chybí hrana	jednoměsíční
chybí hrana	jednonárodnostní
chybí hrana	jednonárodní
chybí hrana	jednopodlažní
chybí hrana	jednopohlavní
chybí hrana	jednoprocesní
chybí hrana	jednorychlostní
chybí hrana	jednoslovní
chybí hrana	jednosněmovní
chybí hrana	jednoteplotní
chybí hrana	jednotýdenní
chybí hrana	jednotřídní
chybí hrana	jetelovinotravní
chybí hrana	kavernikolní
chybí hrana	každonoční
chybí hrana	každoroční
chybí hrana	knihovněprávní
chybí hrana	kolikadenní
chybí hrana	kresební
chybí hrana	kupněprodejní
chybí hrana	kuželočelní
chybí hrana	křížokyčelní
chybí hrana	lehkovodní
chybí hrana	lesněprávní
chybí hrana	levobřežní
chybí hrana	lezní
chybí hrana	lidskoprávní
chybí hrana	lipotropní
chybí hrana	literárněhudební
chybí hrana	lucidní
chybí hrana	majetkoprávní
chybí hrana	majetkosprávní
chybí hrana	majetkověprávní
chybí hrana	malokaliberní
chybí hrana	malokapacitní
chybí hrana	malorážní
chybí hrana	mechanicistní
chybí hrana	melanokratní
chybí hrana	mezicírkevní
chybí hrana	mezidenní
chybí hrana	mezidveřní
