*osamocené číslovky končící na 'ero', 'erý', 'krát', 'istý'
*nalezený předek
*chybí hrana	zkoumané slovo	nalezené slovo'
chybí hrana	stojedenadvacetkrát	sto
chybí hrana	stojedenkrát	sto
chybí hrana	stojedenkrát	jeden
chybí hrana	stojedenáctkrát	jedenáct
chybí hrana	stojedenáctkrát	sto
chybí hrana	stojednapadesátkrát	jednapadesát
chybí hrana	stojednapadesátkrát	sto
chybí hrana	stomiliónkrát	milión
chybí hrana	stomiliónkrát	sto
chybí hrana	stoosmadvacetkrát	sto
chybí hrana	stoosmadvacetkrát	osmadvacet
chybí hrana	stoosmkrát	osm
chybí hrana	stoosmkrát	sto
chybí hrana	stoosmnáctkrát	osmnáct
chybí hrana	stoosmnáctkrát	sto
chybí hrana	stopadesátšestkrát	stopadesát
chybí hrana	stopadesátšestkrát	šest
chybí hrana	stopatnáctkrát	patnáct
chybí hrana	stopatnáctkrát	sto
chybí hrana	stopětkrát	pět
chybí hrana	stopětkrát	sto
chybí hrana	stosedmadvacetkrát	sedmadvacet
chybí hrana	stosedmadvacetkrát	sto
chybí hrana	stosedmdesátkrát	sedmdesát
chybí hrana	stosedmdesátkrát	sto
chybí hrana	stotřicetsedmkrát	stotřicet
chybí hrana	stotřicetsedmkrát	sedm
chybí hrana	stotřicettisíckrát	tisíc
chybí hrana	stotřicettisíckrát	stotřicet
chybí hrana	stotřináctkrát	třináct
chybí hrana	stotřináctkrát	sto
chybí hrana	stočtrnáctkrát	čtrnáct
chybí hrana	stočtrnáctkrát	sto
chybí hrana	stočtyřiačtyřicetkrát	čtyřiačtyřicet
chybí hrana	stočtyřiačtyřicetkrát	sto
chybí hrana	stočtyřiašedesátkrát	sto
chybí hrana	stočtyřiašedesátkrát	čtyřiašedesát
chybí hrana	stočtyřicetkrát	sto
chybí hrana	stočtyřicetkrát	čtyřicet
chybí hrana	stošedesátkrát	šedesát
chybí hrana	stošedesátkrát	sto
chybí hrana	stošestadvacetkrát	sto
chybí hrana	stošestadvacetkrát	šestadvacet
chybí hrana	stošestkrát	sto
chybí hrana	stošestkrát	šest
chybí hrana	stošestnáctkrát	šestnáct
chybí hrana	stošestnáctkrát	sto
chybí hrana	třiapůlkrát	tři
chybí hrana	třiapůlkrát	půl
chybí hrana	třímiliónkrát	tři
chybí hrana	třímiliónkrát	milión
chybí hrana	třísetkrát	tři
chybí hrana	třísetkrát	set
chybí hrana	třísettřicetkrát	tři
chybí hrana	třísettřicetkrát	třicet
chybí hrana	třítisíckrát	tři
chybí hrana	třítisíckrát	tisíc
chybí hrana	čtyřiapůlkrát	půl
chybí hrana	čtyřiapůlkrát	čtyři
chybí hrana	čtyřiatřicekrát	tři
chybí hrana	čtyřiatřicekrát	čtyři
chybí hrana	čtyřiačtyřicettisíckrát	tisíc
chybí hrana	čtyřiačtyřicettisíckrát	čtyřiačtyřicet
chybí hrana	čtyřicettisíckrát	tisíc
chybí hrana	čtyřicettisíckrát	čtyřicet
chybí hrana	čtyřicettřikrát	tři
chybí hrana	čtyřicettřikrát	čtyřicet
chybí hrana	čtyřicetšestkrát	čtyřicet
chybí hrana	čtyřicetšestkrát	šest
chybí hrana	čtyřistadesetkrát	deset
chybí hrana	čtyřistadesetkrát	čtyřista
chybí hrana	čtyřistadvacetkrát	dvacet
chybí hrana	čtyřistadvacetkrát	čtyřista
chybí hrana	čtyřistadvakrát	dva
chybí hrana	čtyřistadvakrát	čtyřista
chybí hrana	čtyřistapadesátkrát	padesát
chybí hrana	čtyřistapadesátkrát	čtyřista
chybí hrana	čtyřistatisíckrát	statisíc
chybí hrana	čtyřistatisíckrát	čtyřista
chybí hrana	čtyřistatřikrát	tři
chybí hrana	čtyřistatřikrát	čtyřista
chybí hrana	čtyřitisícekrát	tisíc
chybí hrana	čtyřitisícekrát	čtyři
chybí hrana	šestapůlkrát	půl
chybí hrana	šestapůlkrát	šest
chybí hrana	šestistý	sto
chybí hrana	šestistý	šest
chybí hrana	šestsettřicetpětkrát	třicetpět
chybí hrana	šestsettřicetpětkrát	šestset
chybí hrana	devětapůltisíckrát	tisíc
chybí hrana	devětapůltisíckrát	půl
chybí hrana	devětapůltisíckrát	devět
chybí hrana	dvouapůltisíckrát	dva
chybí hrana	dvouapůltisíckrát	tisíc
chybí hrana	dvouapůltisíckrát	půl
chybí hrana	stodvacetsedmkrát	dvacet
chybí hrana	stodvacetsedmkrát	sto
chybí hrana	stodvacetsedmkrát	sedm
chybí hrana	stodvacetšestkrát	sto
chybí hrana	stodvacetšestkrát	dvacet
chybí hrana	stodvacetšestkrát	šest
chybí hrana	stopětadvacekrát	pět
chybí hrana	stopětadvacekrát	dva
chybí hrana	stopětadvacekrát	sto
chybí hrana	stočtyřicetdvakrát	sto
chybí hrana	stočtyřicetdvakrát	dva
chybí hrana	stočtyřicetdvakrát	čtyřicet
chybí hrana	stočtyřicettřikrát	tři
chybí hrana	stočtyřicettřikrát	sto
chybí hrana	stočtyřicettřikrát	čtyřicet
chybí hrana	stočtyřicetšestkrát	sto
chybí hrana	stočtyřicetšestkrát	čtyřicet
chybí hrana	stočtyřicetšestkrát	šest
*
*nenalezen předek
*
chybí hrana	bezpočtukrát
chybí hrana	devítistý
chybí hrana	jedinkrát
chybí hrana	miliardkrát
chybí hrana	nejvíckrát
chybí hrana	nekonečněkrát
chybí hrana	neomezeněkrát
chybí hrana	nespočetněkrát
chybí hrana	nespočtukrát
chybí hrana	víckrát
chybí hrana	xkrát
chybí hrana	čtvero
chybí hrana	čtverý
chybí hrana	čtyřsetkrát
